year,Jan emissions,June emissions,Alternate GHGIT emissions
2027.0,357699374.97131,457844114.280985,457849442.596695
2028.0,333454165.2502,457844114.280985,457849442.596695
2029.0,315480256.90689,457844114.280985,457849442.596695
2030.0,281075888.055112,421976728.55701,421981684.71977997
2031.0,254299675.776002,363679195.236288,392762051.388002
2032.0,232477124.777718,330561221.19738,371599636.241104
2033.0,213828515.794436,308068208.858364,359392048.869712
2034.0,197852650.161194,291467290.309884,345287599.798824
2035.0,182675222.82750002,261446828.772877,304057064.473108
2036.0,155072065.9959,225949499.03535,253007118.083664
2037.0,140405110.6054,203364802.754722,234974121.807124
2038.0,133623122.9191,188518485.651499,220855800.182398
2039.0,128196294.8264,177943363.1524,210935150.640487
2040.0,120532222.5906,165093186.202,189897789.218803
2041.0,71102787.8824,104250839.0457,127288366.64299999
2042.0,47747829.265,77082989.3326,104327179.37727499
2043.0,36526290.5207,72873232.085917,101507550.190917
2044.0,27996518.173100002,62996508.315181,92506100.943557
2045.0,22391461.591000002,56087469.02939,79242435.39118999
2046.0,15709199.3423,35300789.0874,35300789.0874
2047.0,8550951.13,32736851.3072,32736851.3072
2048.0,5047362.9852,30955085.7035,30955085.7035
2049.0,2869631.7782,29678628.9408,29678628.9408
2050.0,1355741.06,1355741.06,1355741.06
